WT 0.1M sucrose	
346.5	0.013
347	0.014
347.5	0.015
348	0.017
348.5	0.016
349	0.017
349.5	0.015
350	0.01
350.5	0.008
351	0.006
351.5	0.006
352	0.006
352.5	0.007
353	0.01
353.5	0.011
354	0.015
354.5	0.014
355	0.015
355.5	0.013
356	0.011
356.5	0.01
357	0.01
357.5	0.009
358	0.008
358.5	0.009
359	0.009
359.5	0.009
360	0.011
360.5	0.012
361	0.014
361.5	0.016
362	0.016
362.5	0.015
363	0.013
363.5	0.01
364	0.007
364.5	0.004
365	0.003
365.5	0.006
366	0.01
366.5	0.014
367	0.018
367.5	0.015
368	0.013
368.5	0.01
369	0.009
369.5	0.006
370	0.004
370.5	0.006
371	0.009
371.5	0.013
372	0.013
372.5	0.006
373	0.002
373.5	0.001
374	0.002
374.5	0.001
375	0.003
375.5	0.007
376	0.012
376.5	0.016
377	0.014
377.5	0.013
378	0.012
378.5	0.01
379	0.007
379.5	0.004
380	0.004
380.5	0.003
381	0.003
381.5	0.006
382	0.007
382.5	0.013
383	0.016
383.5	0.018
384	0.017
384.5	0.014
385	0.011
385.5	0.007
386	0.006
386.5	0.009
387	0.008
387.5	0.013
388	0.014
388.5	0.017
389	0.014
389.5	0.012
390	0.01
390.5	0.009
391	0.006
391.5	0.007
392	0.003
392.5	0.001
393	0.001
393.5	0.003
394	0.005
394.5	0.009
395	0.013
395.5	0.017
396	0.017
396.5	0.016
397	0.012
397.5	0.011
398	0.009
398.5	0.008
399	0.009
399.5	0.01
400	0.012
400.5	0.013
401	0.011
401.5	0.01
402	0.01
402.5	0.009
403	0.007
403.5	0.003
404	0.002
404.5	0.003
405	0.005
405.5	0.008
406	0.01
406.5	0.012
407	0.011
407.5	0.01
408	0.01
408.5	0.006
409	0.005
409.5	0.003
410	0.002
410.5	0.004
411	0.01
411.5	0.012
412	0.011
412.5	0.013
413	0.014
413.5	0.014
414	0.012
414.5	0.01
415	0.01
415.5	0.013
416	0.017
416.5	0.018
417	0.014
417.5	0.012
418	0.011
418.5	0.009
419	0.007
419.5	0.006
420	0.004
420.5	0.004
421	0.006
421.5	0.005
422	0.003
422.5	0.005
423	0.006
423.5	0.006
424	0.007
424.5	0.007
425	0.005
425.5	0.004
426	0.004
426.5	0.004
427	0.003
427.5	0.004
428	0.002
428.5	0.003
429	0.006
429.5	0.007
430	0.007
430.5	0.005
431	0.006
431.5	0.007
432	0.007
432.5	0.008
433	0.006
433.5	0.008
434	0.007
434.5	0.006
435	0.005
435.5	0.001
436	0.003
436.5	0.002
437	0.003
437.5	0.006
438	0.007
438.5	0.01
439	0.012
439.5	0.011
440	0.01
440.5	0.008
441	0.008
441.5	0.01
442	0.008
442.5	0.008
443	0.009
443.5	0.009
444	0.01
444.5	0.008
445	0.004
445.5	0.004
446	0.004
446.5	0.005
447	0.002
447.5	-0.001
448	-0.004
448.5	-0.005
449	-0.003
449.5	0.001
450	0.002
450.5	0.005
451	0.008
451.5	0.008
452	0.009
452.5	0.007
453	0.007
453.5	0.006
454	0.005
454.5	0.004
455	0.003
455.5	0.003
456	0.003
456.5	0.003
457	0.004
457.5	0.004
458	0.003
458.5	0.001
459	0
459.5	-0.001
460	0
460.5	0.002
461	0.003
461.5	0.005
462	0.006
462.5	0.008
463	0.009
463.5	0.009
464	0.008
464.5	0.009
465	0.009
465.5	0.009
466	0.008
466.5	0.007
467	0.007
467.5	0.008
468	0.006
468.5	0.002
469	0.001
469.5	0.003
470	0.003
470.5	0.005
471	0.006
471.5	0.007
472	0.007
472.5	0.006
473	0.004
473.5	0.005
474	0.006
474.5	0.008
475	0.008
475.5	0.011
476	0.01
476.5	0.008
477	0.006
477.5	0.004
478	0.003
478.5	0.002
479	0.001
479.5	0.002
480	0.003
480.5	0.004
481	0.007
481.5	0.008
482	0.01
482.5	0.011
483	0.011
483.5	0.012
484	0.01
484.5	0.007
485	0.004
485.5	0.002
486	0.001
486.5	0
487	0
487.5	0
488	0.003
488.5	0.006
489	0.007
489.5	0.008
490	0.008
490.5	0.009
491	0.007
491.5	0.007
492	0.002
492.5	0.001
493	0.002
493.5	0.001
494	0.001
494.5	0.001
495	0.003
495.5	0.006
496	0.008
496.5	0.008
497	0.007
497.5	0.007
498	0.007
498.5	0.007
499	0.005
499.5	0.004
500	0.002
500.5	0.002
501	0.002
501.5	0.003
502	0.005
502.5	0.005
503	0.007
503.5	0.007
504	0.003
504.5	0.001
505	-0.002
505.5	-0.004
506	0
506.5	0.002
507	0.002
507.5	0
508	0.001
508.5	-0.002
509	-0.003
509.5	-0.005
510	-0.004
510.5	-0.002
511	0.004
511.5	0.006
512	0.006
512.5	0.006
513	0.006
513.5	0.001
514	-0.003
514.5	-0.008
515	-0.011
515.5	-0.013
516	-0.013
516.5	-0.01
517	-0.006
517.5	-0.002
518	-0.004
518.5	-0.003
519	-0.002
519.5	-0.003
520	-0.002
520.5	0
521	0.001
521.5	0.004
522	0.004
522.5	0.006
523	0.004
523.5	0.002
524	0.003
524.5	0.002
525	0.002
525.5	0.002
526	0.001
526.5	-0.001
527	-0.002
527.5	-0.002
528	-0.003
528.5	-0.004
529	-0.003
529.5	0.001
530	0.001
530.5	0.002
531	0.004
531.5	0.005
532	0.004
532.5	0.001
533	0.001
533.5	-0.005
534	-0.01
534.5	-0.01
535	-0.011
535.5	-0.009
536	-0.003
536.5	0.002
537	0.005
537.5	0.006
538	0.009
538.5	0.008
539	0.009
539.5	0.008
540	0.007
540.5	0.007
541	0.007
541.5	0.009
542	0.005
542.5	0.003
543	0.005
543.5	0.006
544	0.008
544.5	0.004
545	0.001
545.5	0.003
546	0.003
546.5	0.004
547	0.003
547.5	0.005
548	0.01
548.5	0.007
549	0.004
549.5	0.003
550	-0.001
550.5	-0.001
551	-0.001
551.5	-0.004
552	-0.005
552.5	-0.002
553	-0.003
553.5	-0.003
554	-0.002
554.5	0.001
555	0.002
555.5	-0.001
556	-0.004
556.5	-0.005
557	-0.003
557.5	-0.002
558	0.001
558.5	0.007
559	0.013
559.5	0.012
560	0.016
560.5	0.012
561	0.009
561.5	0.005
562	0.004
562.5	0
563	0.002
563.5	0.002
564	0.002
564.5	0
565	0.004
565.5	0.004
566	0.003
566.5	0.002
567	0.003
567.5	0.001
568	0
568.5	0
569	-0.001
569.5	-0.003
570	-0.003
570.5	-0.005
571	-0.007
571.5	-0.006
572	-0.004
572.5	-0.001
573	0.003
573.5	0.009
574	0.009
574.5	0.009
575	0.008
575.5	0.005
576	0.001
576.5	0.002
577	0.004
577.5	0.003
578	0
578.5	0
579	-0.006
579.5	-0.004
580	-0.004
580.5	-0.006
581	-0.005
581.5	-0.002
582	-0.002
582.5	-0.004
583	-0.005
583.5	-0.007
584	-0.005
584.5	-0.002
585	0
585.5	0
586	0
586.5	-0.003
587	-0.008
587.5	-0.007
588	-0.008
588.5	-0.009
589	-0.009
589.5	-0.006
590	-0.003
590.5	0.001
591	0.004
591.5	0.002
592	-0.002
592.5	0.001
593	-0.001
593.5	-0.003
594	-0.007
594.5	-0.008
595	-0.006
595.5	-0.004
596	-0.003
596.5	-0.002
597	-0.001
597.5	0.003
598	0.003
598.5	0.005
599	0.009
599.5	0.01
600	0.01
600.5	0.008
601	0.003
601.5	0
602	-0.001
602.5	-0.001
603	-0.007
603.5	-0.012
604	-0.01
604.5	-0.01
605	-0.011
605.5	-0.008
606	-0.006
606.5	-0.001
607	0.006
607.5	0.011
608	0.013
608.5	0.011
609	0.013
609.5	0.012
610	0.009
610.5	0.009
611	0.009
611.5	0.006
612	0.007
612.5	0.007
613	0.007
613.5	0.004
614	0.004
614.5	0.004
615	0.001
615.5	0.005
616	0.003
616.5	0.003
617	0.003
617.5	0.003
618	0.003
618.5	0.001
619	-0.002
619.5	-0.003
620	-0.008
620.5	-0.007
621	-0.008
621.5	-0.003
622	-0.002
622.5	0.005
623	0.004
623.5	0.002
624	-0.003
624.5	-0.007
625	-0.01
625.5	-0.012
626	-0.01
626.5	-0.006
627	-0.005
627.5	-0.003
628	-0.003
628.5	-0.004
629	-0.003
629.5	-0.005
630	-0.004
630.5	0
631	0
631.5	0.005
632	0.008
632.5	0.007
633	0.009
633.5	0.009
634	0.007
634.5	0.002
635	-0.004
635.5	-0.005
636	-0.009
636.5	-0.008
637	-0.007
637.5	-0.007
638	-0.007
638.5	-0.003
639	-0.004
639.5	-0.002
640	-0.004
640.5	-0.004
641	-0.003
641.5	-0.005
642	-0.005
642.5	-0.007
643	-0.005
643.5	-0.001
644	-0.003
644.5	0.001
645	0.002
645.5	-0.004
646	-0.007
646.5	-0.014
647	-0.015
647.5	-0.019
648	-0.014
648.5	-0.009
649	-0.005
649.5	0.001
650	0.003
650.5	0.006
651	0.005
651.5	0.004
652	0.003
652.5	0
653	-0.002
653.5	-0.004
654	-0.007
654.5	-0.005
655	-0.004
655.5	-0.001
656	0.003
656.5	-0.003
657	-0.006
657.5	-0.011
658	-0.015
658.5	-0.022
659	-0.024
659.5	-0.02
660	-0.02
660.5	-0.018
661	-0.012
661.5	-0.011
662	-0.005
662.5	0.001
663	0.003
663.5	0.006
664	0.005
664.5	0.007
665	0.006
665.5	0.004
666	0.003
666.5	0.001
667	0.005
667.5	0.005
668	0.004
668.5	0.003
669	0.004
669.5	0.004
670	0.001
670.5	0.004
671	0.007
671.5	0.007
672	0.01
672.5	0.011
673	0.015
673.5	0.01
674	0.006
674.5	0
675	-0.003
675.5	-0.003
676	-0.004
676.5	0
677	0.001
677.5	0.003
678	0.007
678.5	0.004
679	0.002
679.5	0.001
680	0.002
680.5	-0.002
681	-0.003
681.5	0.004
682	0.003
682.5	0.002
683	0.001
683.5	0.003
684	0
684.5	0.001
685	0.005
685.5	0.008
686	0.011
686.5	0.012
687	0.006
687.5	0.005
688	0.005
688.5	0.001
689	-0.001
689.5	-0.006
690	-0.003
690.5	0.002
691	0.001
691.5	-0.007
692	-0.012
692.5	-0.011
693	-0.006
693.5	-0.003
694	-0.002
694.5	-0.006
695	-0.005
695.5	-0.002
696	-0.002
696.5	-0.005
697	-0.008
697.5	-0.008
698	-0.007
698.5	-0.002
699	-0.006
699.5	-0.005
700	-0.008
700.5	-0.003
701	0.001
701.5	0.004
702	0.003
702.5	0.003
703	0.005
703.5	0.003
704	0.001
704.5	0.001
705	-0.004
705.5	-0.006
706	-0.007
706.5	-0.006
707	-0.011
707.5	-0.012
708	-0.016
708.5	-0.013
709	-0.015
709.5	-0.01
710	-0.008
710.5	-0.008
711	-0.01
711.5	-0.004
712	-0.007
712.5	-0.008
713	-0.01
713.5	-0.009
714	-0.007
714.5	-0.004
715	-0.001
715.5	-0.005
716	-0.006
716.5	-0.004
717	-0.009
717.5	-0.012
718	-0.012
718.5	-0.01
719	-0.007
719.5	-0.003
720	-0.003
720.5	-0.007
721	-0.008
721.5	-0.005
722	-0.002
722.5	-0.007
723	-0.004
723.5	-0.003
724	-0.002
724.5	-0.006
725	-0.012
725.5	-0.019
726	-0.023
726.5	-0.021
727	-0.014
727.5	-0.013
728	-0.005
728.5	-0.004
729	-0.001
729.5	-0.004
730	-0.006
730.5	-0.005
731	-0.005
731.5	-0.007
732	-0.006
732.5	-0.004
733	-0.006
733.5	-0.005
734	-0.008
734.5	-0.008
735	-0.01
735.5	-0.01
736	-0.007
736.5	-0.011
737	-0.013
737.5	-0.014
738	-0.012
738.5	-0.004
739	0
739.5	0.003
740	0.003
740.5	0.005
741	0.004
741.5	0.002
742	-0.003
742.5	-0.004
743	0
743.5	0.001
744	-0.004
744.5	-0.003
745	-0.004
745.5	0.002
746	-0.001
746.5	0.004
747	0.005
747.5	0.01
748	0.013
748.5	0.012
749	0.01
749.5	0.007
750	0.004
750.5	-0.001
751	-0.007
751.5	-0.005
752	-0.005
752.5	-0.006
753	-0.002
753.5	-0.001
754	-0.001
754.5	-0.009
755	-0.01
755.5	-0.016
756	-0.014
756.5	-0.014
757	-0.013
757.5	-0.01
758	0.001
758.5	0.007
759	0.011
759.5	0.009
760	0.01
760.5	0.011
761	0.008
761.5	0.003
762	-0.001
762.5	-0.001
763	-0.005
763.5	-0.007
764	-0.012
764.5	-0.019
765	-0.021
765.5	-0.013
766	-0.01
766.5	-0.006
767	-0.009
767.5	-0.009
768	-0.014
768.5	-0.009
769	-0.011
769.5	-0.011
770	-0.008
770.5	0
771	0
771.5	-0.006
772	-0.008
772.5	-0.005
773	-0.005
773.5	0.003
774	0.004
774.5	0
775	-0.003
775.5	-0.004
776	-0.011
776.5	-0.02
777	-0.017
777.5	-0.009
778	-0.006
778.5	-0.001
779	0.005
779.5	0.007
780	0.008
780.5	0.009
781	0.007
781.5	-0.002
782	-0.007
782.5	-0.009
783	-0.011
783.5	-0.016
784	-0.013
784.5	-0.008
785	-0.008
785.5	-0.007
786	-0.011
786.5	-0.011
787	-0.012
787.5	-0.013
788	-0.016
788.5	-0.022
789	-0.025
789.5	-0.027
790	-0.03
790.5	-0.032
791	-0.033
791.5	-0.024
792	-0.017
792.5	-0.009
793	-0.005
793.5	-0.01
794	-0.018
794.5	-0.026
795	-0.027
795.5	-0.029
796	-0.029
796.5	-0.031
797	-0.026
797.5	-0.02
798	-0.011
798.5	-0.016
799	-0.023
799.5	-0.023
800	-0.022
800.5	-0.016
801	-0.018
801.5	-0.01
802	-0.003
802.5	0.002
803	0.01
803.5	0.001
804	-0.007
804.5	-0.011
805	-0.015
805.5	-0.018
806	-0.018
806.5	-0.006
807	-0.004
807.5	-0.001
808	-0.008
808.5	-0.021
809	-0.024
809.5	-0.021
810	-0.018
810.5	-0.014
811	-0.006
811.5	0.002
812	0.007
812.5	0
813	-0.004
813.5	-0.001
814	-0.008
814.5	-0.003
815	-0.002
815.5	0.003
816	0
816.5	0
817	-0.007
817.5	-0.014
818	-0.014
818.5	-0.017
819	-0.029
819.5	-0.031
820	-0.03
820.5	-0.027
821	-0.029
821.5	-0.023
822	-0.018
822.5	-0.013
823	-0.01
823.5	-0.001
824	0.004
824.5	0.003
825	0.007
825.5	0.005
826	-0.003
826.5	-0.005
827	-0.011
827.5	-0.014
828	-0.014
828.5	-0.01
829	-0.009
829.5	-0.004
830	-0.004
830.5	0
831	0.006
831.5	0.004
832	-0.004
832.5	-0.004
833	-0.011
833.5	-0.015
834	-0.018
834.5	-0.02
835	-0.026
835.5	-0.019
836	-0.016
836.5	-0.013
837	-0.008
837.5	0.002
838	0.004
838.5	0.01
839	0.012
839.5	0.012
840	0.006
840.5	0.009
841	0.004
841.5	0.012
842	0.003
842.5	0.003
843	-0.002
843.5	0.001
844	-0.002
844.5	-0.008
845	-0.013
845.5	-0.02
846	-0.023
846.5	-0.023
847	-0.026
847.5	-0.018
848	-0.011
848.5	-0.004
849	-0.002
849.5	-0.007
850	-0.02
	
	
WT 0.1M trehalose	
4/4/2023 5:36 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	0.467
190.5	0.424
191	0.41
191.5	0.382
192	0.357
192.5	0.339
193	0.315
193.5	0.295
194	0.259
194.5	0.227
195	0.206
195.5	0.212
196	0.217
196.5	0.217
197	0.245
197.5	0.258
198	0.252
198.5	0.235
199	0.216
199.5	0.204
200	0.182
200.5	0.175
201	0.166
201.5	0.163
202	0.161
202.5	0.159
203	0.163
203.5	0.175
204	0.181
204.5	0.18
205	0.164
205.5	0.167
206	0.158
206.5	0.14
207	0.123
207.5	0.113
208	0.119
208.5	0.115
209	0.112
209.5	0.118
210	0.119
210.5	0.138
211	0.134
211.5	0.123
212	0.114
212.5	0.105
213	0.107
213.5	0.101
214	0.096
214.5	0.1
215	0.098
215.5	0.103
216	0.106
216.5	0.102
217	0.098
217.5	0.087
218	0.081
218.5	0.077
219	0.071
219.5	0.073
220	0.075
220.5	0.081
221	0.084
221.5	0.078
222	0.076
222.5	0.065
223	0.059
223.5	0.059
224	0.057
224.5	0.057
225	0.057
225.5	0.058
226	0.051
226.5	0.049
227	0.047
227.5	0.044
228	0.043
228.5	0.04
229	0.041
229.5	0.034
230	0.031
230.5	0.029
231	0.03
231.5	0.029
232	0.027
232.5	0.032
233	0.031
233.5	0.028
234	0.027
234.5	0.02
235	0.016
235.5	0.013
236	0.011
236.5	0.009
237	0.011
237.5	0.017
238	0.017
238.5	0.016
239	0.018
239.5	0.015
240	0.015
240.5	0.011
241	0.007
241.5	0.008
242	0.009
242.5	0.013
243	0.012
243.5	0.01
244	0.011
244.5	0.011
245	0.009
245.5	0.006
246	0.005
246.5	0.007
247	0.011
247.5	0.014
248	0.015
248.5	0.017
249	0.019
249.5	0.023
250	0.022
250.5	0.018
251	0.015
251.5	0.012
252	0.011
252.5	0.009
253	0.01
253.5	0.011
254	0.012
254.5	0.015
255	0.013
255.5	0.014
256	0.014
256.5	0.017
257	0.019
257.5	0.017
258	0.018
258.5	0.016
259	0.014
259.5	0.011
260	0.009
260.5	0.01
261	0.01
261.5	0.015
262	0.015
262.5	0.015
263	0.016
263.5	0.016
264	0.015
264.5	0.013
265	0.011
265.5	0.009
266	0.005
266.5	0.003
267	0.002
267.5	0.002
268	0.007
268.5	0.009
269	0.01
269.5	0.015
270	0.015
270.5	0.012
271	0.009
271.5	0.006
272	0.006
272.5	0.006
273	0.01
273.5	0.01
274	0.011
274.5	0.014
275	0.012
275.5	0.011
276	0.009
276.5	0.005
277	0.008
277.5	0.007
278	0.009
278.5	0.01
279	0.011
279.5	0.013
280	0.013
280.5	0.013
281	0.01
281.5	0.009
282	0.008
282.5	0.008
283	0.007
283.5	0.008
284	0.011
284.5	0.012
285	0.012
285.5	0.012
286	0.011
286.5	0.007
287	0.002
287.5	0
288	-0.001
288.5	0.001
289	0.005
289.5	0.009
290	0.014
290.5	0.015
291	0.017
291.5	0.014
292	0.011
292.5	0.007
293	0.003
293.5	-0.002
294	-0.003
294.5	-0.001
295	-0.001
295.5	0
296	0.002
296.5	0.005
297	0.008
297.5	0.01
298	0.007
298.5	0.006
299	0.007
299.5	0.004
300	0.002
300.5	0
301	-0.002
301.5	0
302	0.003
302.5	0.003
303	0.006
303.5	0.009
304	0.012
304.5	0.014
305	0.015
305.5	0.012
306	0.011
306.5	0.006
307	0.002
307.5	0
308	-0.001
308.5	-0.001
309	0.003
309.5	0.004
310	0.006
310.5	0.009
311	0.01
311.5	0.009
312	0.01
312.5	0.008
313	0.008
313.5	0.009
314	0.009
314.5	0.01
315	0.013
315.5	0.012
316	0.012
316.5	0.012
317	0.011
317.5	0.008
318	0.006
318.5	0.003
319	0.007
319.5	0.009
320	0.01
320.5	0.011
321	0.014
321.5	0.016
322	0.014
322.5	0.008
323	0.002
323.5	0
324	0.001
324.5	0.001
325	0.003
325.5	0.007
326	0.01
326.5	0.01
327	0.01
327.5	0.007
328	0.006
328.5	0.009
329	0.011
329.5	0.014
330	0.016
330.5	0.018
331	0.018
331.5	0.016
332	0.018
332.5	0.016
333	0.014
333.5	0.011
334	0.01
334.5	0.006
335	0.007
335.5	0.008
336	0.01
336.5	0.011
337	0.015
337.5	0.015
338	0.017
338.5	0.017
339	0.017
339.5	0.015
340	0.017
340.5	0.014
341	0.013
341.5	0.012
342	0.009
342.5	0.009
343	0.008
343.5	0.009
344	0.01
344.5	0.012
345	0.014
345.5	0.012
346	0.014
346.5	0.016
347	0.015
347.5	0.015
348	0.014
348.5	0.014
349	0.014
349.5	0.011
350	0.009
350.5	0.007
351	0.004
351.5	0.002
352	0.003
352.5	0.005
353	0.008
353.5	0.01
354	0.013
354.5	0.012
355	0.011
355.5	0.009
356	0.006
356.5	0.006
357	0.006
357.5	0.005
358	0.007
358.5	0.01
359	0.011
359.5	0.013
360	0.013
360.5	0.012
361	0.011
361.5	0.01
362	0.009
362.5	0.009
363	0.009
363.5	0.011
364	0.009
364.5	0.011
365	0.01
365.5	0.015
366	0.016
366.5	0.019
367	0.02
367.5	0.018
368	0.014
368.5	0.011
369	0.01
369.5	0.006
370	0.008
370.5	0.01
371	0.012
371.5	0.015
372	0.017
372.5	0.013
373	0.01
373.5	0.009
374	0.008
374.5	0.003
375	0.005
375.5	0.005
376	0.008
376.5	0.009
377	0.01
377.5	0.01
378	0.011
378.5	0.015
379	0.014
379.5	0.011
380	0.011
380.5	0.011
381	0.013
381.5	0.016
382	0.017
382.5	0.02
383	0.021
383.5	0.02
384	0.017
384.5	0.008
385	0.004
385.5	0.003
386	0.003
386.5	0.009
387	0.012
387.5	0.016
388	0.017
388.5	0.019
389	0.017
389.5	0.015
390	0.013
390.5	0.012
391	0.009
391.5	0.008
392	0.009
392.5	0.007
393	0.005
393.5	0.007
394	0.007
394.5	0.009
395	0.009
395.5	0.013
396	0.013
396.5	0.014
397	0.017
397.5	0.018
398	0.017
398.5	0.016
399	0.016
399.5	0.015
400	0.016
400.5	0.015
401	0.012
401.5	0.011
402	0.01
402.5	0.008
403	0.007
403.5	0.005
404	0.008
404.5	0.008
405	0.008
405.5	0.008
406	0.009
406.5	0.008
407	0.007
407.5	0.004
408	0.005
408.5	0.005
409	0.006
409.5	0.005
410	0.005
410.5	0.006
411	0.008
411.5	0.01
412	0.009
412.5	0.01
413	0.011
413.5	0.011
414	0.011
414.5	0.007
415	0.006
415.5	0.007
416	0.01
416.5	0.012
417	0.01
417.5	0.008
418	0.009
418.5	0.008
419	0.007
419.5	0.004
420	0.003
420.5	0.004
421	0.006
421.5	0.006
422	0.005
422.5	0.005
423	0.008
423.5	0.01
424	0.01
424.5	0.012
425	0.012
425.5	0.011
426	0.011
426.5	0.01
427	0.012
427.5	0.012
428	0.011
428.5	0.011
429	0.01
429.5	0.008
430	0.007
430.5	0.003
431	0.003
431.5	0.005
432	0.008
432.5	0.01
433	0.011
433.5	0.014
434	0.013
434.5	0.011
435	0.011
435.5	0.007
436	0.005
436.5	0.006
437	0.007
437.5	0.007
438	0.01
438.5	0.014
439	0.013
439.5	0.012
440	0.012
440.5	0.009
441	0.007
441.5	0.007
442	0.005
442.5	0.005
443	0.008
443.5	0.009
444	0.009
444.5	0.01
445	0.009
445.5	0.011
446	0.009
446.5	0.008
447	0.005
447.5	0.001
448	-0.002
448.5	-0.003
449	-0.004
449.5	0
450	0.002
450.5	0.004
451	0.006
451.5	0.008
452	0.009
452.5	0.008
453	0.007
453.5	0.008
454	0.008
454.5	0.009
455	0.008
455.5	0.008
456	0.009
456.5	0.01
457	0.011
457.5	0.011
458	0.01
458.5	0.008
459	0.007
459.5	0.005
460	0.005
460.5	0.008
461	0.008
461.5	0.009
462	0.013
462.5	0.015
463	0.015
463.5	0.015
464	0.013
464.5	0.013
465	0.014
465.5	0.015
466	0.013
466.5	0.011
467	0.012
467.5	0.011
468	0.01
468.5	0.007
469	0.004
469.5	0.006
470	0.007
470.5	0.01
471	0.012
471.5	0.012
472	0.011
472.5	0.01
473	0.009
473.5	0.008
474	0.007
474.5	0.009
475	0.008
475.5	0.009
476	0.009
476.5	0.008
477	0.005
477.5	0.004
478	0.005
478.5	0.005
479	0.005
479.5	0.006
